pubmed	haspdf	year	journal
27084713	1	2016	Amino Acids
27193233	1	2016	Amino Acids
28861322	1	2017	Am J Cancer Res
27679742	1	2016	Am J Cardiovasc Dis
19923370	1	2010	Am J Clin Nutr
25043722	1	2014	Am J Hematol
27862528	1	2017	Am J Hum Biol
20021999	1	2010	Am J Hum Genet
20137774	1	2010	Am J Hum Genet
20137775	1	2010	Am J Hum Genet
20137776	1	2010	Am J Hum Genet
20137777	1	2010	Am J Hum Genet
20137778	1	2010	Am J Hum Genet
20159109	1	2010	Am J Hum Genet
20159111	1	2010	Am J Hum Genet
20159112	1	2010	Am J Hum Genet
20170896	1	2010	Am J Hum Genet
20170897	1	2010	Am J Hum Genet
20170898	1	2010	Am J Hum Genet
20170899	1	2010	Am J Hum Genet
20206334	1	2010	Am J Hum Genet
20206336	1	2010	Am J Hum Genet
20346435	1	2010	Am J Hum Genet
20346438	1	2010	Am J Hum Genet
20381006	1	2010	Am J Hum Genet
20398884	1	2010	Am J Hum Genet
20398886	1	2010	Am J Hum Genet
20451169	1	2010	Am J Hum Genet
20451170	1	2010	Am J Hum Genet
20466094	1	2010	Am J Hum Genet
20560210	1	2010	Am J Hum Genet
20598275	1	2010	Am J Hum Genet
20602914	1	2010	Am J Hum Genet
20602916	1	2010	Am J Hum Genet
20691403	1	2010	Am J Hum Genet
20691405	1	2010	Am J Hum Genet
20705278	1	2010	Am J Hum Genet
20705279	1	2010	Am J Hum Genet
20797688	1	2010	Am J Hum Genet
20797691	1	2010	Am J Hum Genet
20826270	1	2010	Am J Hum Genet
20887964	1	2010	Am J Hum Genet
21035105	1	2010	Am J Hum Genet
21055718	1	2010	Am J Hum Genet
21129721	1	2010	Am J Hum Genet
21129722	1	2010	Am J Hum Genet
21167467	1	2011	Am J Hum Genet
21194678	1	2011	Am J Hum Genet
21276947	1	2011	Am J Hum Genet
21353194	1	2011	Am J Hum Genet
21397062	1	2011	Am J Hum Genet
21397065	1	2011	Am J Hum Genet
21419380	1	2011	Am J Hum Genet
21473986	1	2011	Am J Hum Genet
21529751	1	2011	Am J Hum Genet
21529752	1	2011	Am J Hum Genet
21549343	1	2011	Am J Hum Genet
21565291	1	2011	Am J Hum Genet
21665002	1	2011	Am J Hum Genet
21665003	1	2011	Am J Hum Genet
21683322	1	2011	Am J Hum Genet
21683323	1	2011	Am J Hum Genet
21703590	1	2011	Am J Hum Genet
21722859	1	2011	Am J Hum Genet
21741611	1	2011	Am J Hum Genet
21763480	1	2011	Am J Hum Genet
21763481	1	2011	Am J Hum Genet
21782149	1	2011	Am J Hum Genet
21802063	1	2011	Am J Hum Genet
21820096	1	2011	Am J Hum Genet
21835307	1	2011	Am J Hum Genet
22019272	1	2011	Am J Hum Genet
22077972	1	2011	Am J Hum Genet
22077973	1	2011	Am J Hum Genet
22152675	1	2011	Am J Hum Genet
22152679	1	2011	Am J Hum Genet
22197488	1	2012	Am J Hum Genet
22197489	1	2012	Am J Hum Genet
22209247	1	2012	Am J Hum Genet
22305526	1	2012	Am J Hum Genet
22325361	1	2012	Am J Hum Genet
22325362	1	2012	Am J Hum Genet
22541557	1	2012	Am J Hum Genet
22541562	1	2012	Am J Hum Genet
22578324	1	2012	Am J Hum Genet
22578325	1	2012	Am J Hum Genet
22748208	1	2012	Am J Hum Genet
22770980	1	2012	Am J Hum Genet
22770981	1	2012	Am J Hum Genet
22922031	1	2012	Am J Hum Genet
22958902	1	2012	Am J Hum Genet
22958903	1	2012	Am J Hum Genet
23022097	1	2012	Am J Hum Genet
23084290	1	2012	Am J Hum Genet
23122586	1	2012	Am J Hum Genet
23200862	1	2012	Am J Hum Genet
23200864	1	2012	Am J Hum Genet
23246292	1	2013	Am J Hum Genet
23290074	1	2013	Am J Hum Genet
23375655	1	2013	Am J Hum Genet
23472758	1	2013	Am J Hum Genet
23472759	1	2013	Am J Hum Genet
23499309	1	2013	Am J Hum Genet
23522784	1	2013	Am J Hum Genet
23602712	1	2013	Am J Hum Genet
23623387	1	2013	Am J Hum Genet
23643380	1	2013	Am J Hum Genet
23643381	1	2013	Am J Hum Genet
23643382	1	2013	Am J Hum Genet
23768516	1	2013	Am J Hum Genet
23810380	1	2013	Am J Hum Genet
23830514	1	2013	Am J Hum Genet
23849776	1	2013	Am J Hum Genet
23849777	1	2013	Am J Hum Genet
23849778	1	2013	Am J Hum Genet
23891471	1	2013	Am J Hum Genet
23972370	1	2013	Am J Hum Genet
23972372	1	2013	Am J Hum Genet
24035193	1	2013	Am J Hum Genet
24055110	1	2013	Am J Hum Genet
24140114	1	2013	Am J Hum Genet
24183451	1	2013	Am J Hum Genet
24207117	1	2013	Am J Hum Genet
24207120	1	2013	Am J Hum Genet
24207122	1	2013	Am J Hum Genet
24239381	1	2013	Am J Hum Genet
24268657	1	2013	Am J Hum Genet
24268659	1	2013	Am J Hum Genet
24290375	1	2013	Am J Hum Genet
24290376	1	2013	Am J Hum Genet
24360809	1	2014	Am J Hum Genet
24462371	1	2014	Am J Hum Genet
24607389	1	2014	Am J Hum Genet
24656866	1	2014	Am J Hum Genet
24680886	1	2014	Am J Hum Genet
24680887	1	2014	Am J Hum Genet
24702954	1	2014	Am J Hum Genet
24726472	1	2014	Am J Hum Genet
24768550	1	2014	Am J Hum Genet
24791901	1	2014	Am J Hum Genet
24906019	1	2014	Am J Hum Genet
24906020	1	2014	Am J Hum Genet
24995871	1	2014	Am J Hum Genet
25087613	1	2014	Am J Hum Genet
25105228	1	2014	Am J Hum Genet
25152455	1	2014	Am J Hum Genet
25192045	1	2014	Am J Hum Genet
25439729	1	2014	Am J Hum Genet
25480035	1	2014	Am J Hum Genet
25557785	1	2015	Am J Hum Genet
25658046	1	2015	Am J Hum Genet
25704602	1	2015	Am J Hum Genet
25704603	1	2015	Am J Hum Genet
25772936	1	2015	Am J Hum Genet
25839327	1	2015	Am J Hum Genet
25892112	1	2015	Am J Hum Genet
25937446	1	2015	Am J Hum Genet
25983245	1	2015	Am J Hum Genet
26027496	1	2015	Am J Hum Genet
26235987	1	2015	Am J Hum Genet
26340332	1	2015	Am J Hum Genet
26340333	1	2015	Am J Hum Genet
26365341	1	2015	Am J Hum Genet
26387594	1	2015	Am J Hum Genet
26581903	1	2015	Am J Hum Genet
26593267	1	2015	Am J Hum Genet
26608785	1	2015	Am J Hum Genet
26637977	1	2015	Am J Hum Genet
26708751	1	2016	Am J Hum Genet
26749305	1	2016	Am J Hum Genet
26805784	1	2016	Am J Hum Genet
26833329	1	2016	Am J Hum Genet
26924529	1	2016	Am J Hum Genet
27018474	1	2016	Am J Hum Genet
27058446	1	2016	Am J Hum Genet
27087320	1	2016	Am J Hum Genet
27108798	1	2016	Am J Hum Genet
27153396	1	2016	Am J Hum Genet
27181681	1	2016	Am J Hum Genet
27181683	1	2016	Am J Hum Genet
